round,train_loss,test_mse,test_rmse,test_mae,test_r2
1,245876013143.64227,234991138498.49594,484758.84571454284,473314.4400303503,-16.39082889282111
2,200726056865.3125,192558438839.22195,438814.8115540563,428449.5296286267,-13.250541033670089
3,163962791297.34174,157923823166.0343,397396.3049224719,387894.2515989928,-10.68736065678587
4,134026030709.90535,129648828551.2527,360067.81104571495,351233.8267391492,-8.594832417495466
5,109646248914.0854,106561047793.9877,326436.89710874856,318093.4713434112,-6.88619077581444
6,89790355619.07605,87704814144.77554,296149.98589359334,288134.5335668135,-5.490710354502284
7,73617601726.2076,72301044172.90337,268888.53484837053,261051.00368079712,-4.350734057536858
8,60443719093.524765,59714535110.800705,244365.5767713626,236566.36197673134,-3.4192528669881748
9,49711755065.60541,49427330456.09884,222322.58197515347,214437.60090195187,-2.6579347292980673
10,40968350313.80138,41017025815.64791,202526.60520447162,194572.87524836912,-2.0355190506765624
11,33844442755.427483,34139097009.51212,184767.6838884769,176613.64786984798,-1.526508865148743
12,28039570654.420452,28512503316.82334,168856.45772911186,160397.97343601895,-1.110105383791069
13,23309102684.087097,23907957755.42113,154621.98341575215,145964.71560807517,-0.7693399213178651
14,19453848441.965263,20138369391.017643,141909.7226796587,132990.57466525593,-0.4903665665752559
15,16311605079.174688,17051054704.627674,130579.68718230135,121392.73568822016,-0.2618857745234091
16,13750278754.017406,14521389940.743935,120504.72995174893,110937.10807640316,-0.07467459989785019
17,11662287126.088587,12447637310.077305,111568.98005304747,101618.44003699509,0.07879619647514513
18,9960003984.442984,10746727529.297031,103666.42431036691,93293.15528352495,0.20467426638315112
19,8572051716.950953,9350821560.296606,96699.64612291302,86020.69087883279,0.30798012724440826
20,7440283599.810263,8204507282.602157,90578.73526718153,79804.33403804543,0.3928146260606672
